Student ID,student_name,gender,grade,school_name,reading_score,math_score,math_passed,reading_passed,overall
17871,Blake Martin,M,9th,Bailey High School,75,59,0,1,0
17872,Kathryn Kane,F,12th,Bailey High School,84,58,0,1,0
17873,Richard Haas,M,11th,Bailey High School,79,86,1,1,1
17874,Frank Marsh,M,9th,Bailey High School,71,89,1,1,1
17875,Charles Goodman Jr.,M,9th,Bailey High School,90,61,0,1,0
17876,James Burton,M,11th,Bailey High School,89,85,1,1,1
17877,James Rogers,M,11th,Bailey High School,91,70,1,1,1
17878,Wendy Fox,F,12th,Bailey High School,85,99,1,1,1
17879,Lori Lambert,F,11th,Bailey High School,93,80,1,1,1
17880,Aaron Moyer,M,9th,Bailey High School,81,62,0,1,0
17881,Antonio Foster,M,10th,Bailey High School,71,95,1,1,1
17882,Michael Dean,M,9th,Bailey High School,99,79,1,1,1
17883,Robin Vega,F,9th,Bailey High School,84,64,0,1,0
17884,Stephanie Robbins,F,10th,Bailey High School,87,56,0,1,0
17885,Joseph Webster,M,11th,Bailey High School,68,69,0,0,0
17886,David Harper,M,10th,Bailey High School,97,60,0,1,0
17887,Michaela Morgan,F,10th,Bailey High School,74,74,1,1,1
17888,Jeffrey Sherman,M,12th,Bailey High School,93,57,0,1,0
17889,Zachary Williams,M,12th,Bailey High School,77,89,1,1,1
17890,Debra Owen,F,11th,Bailey High School,92,77,1,1,1
17891,Devin Phillips,M,12th,Bailey High School,69,83,1,0,0
17892,Kenneth Juarez,M,9th,Bailey High School,96,69,0,1,0
17893,Jennifer Martin,F,11th,Bailey High School,86,92,1,1,1
17894,Katie Ingram,F,11th,Bailey High School,73,83,1,1,1
17895,Laura Castillo,F,10th,Bailey High School,78,71,1,1,1
17896,Jessica Butler,F,12th,Bailey High School,78,91,1,1,1
17897,Daniel Thomas,M,12th,Bailey High School,65,69,0,0,0
17898,Alan Hall,M,12th,Bailey High School,86,71,1,1,1
17899,Robin Castillo,F,11th,Bailey High School,81,86,1,1,1
17900,Ashley Bowman,F,12th,Bailey High School,75,63,0,1,0
17901,Gerald Smith,M,9th,Bailey High School,73,89,1,1,1
17902,Justin Roberts,M,11th,Bailey High School,91,76,1,1,1
17903,David Hernandez,M,9th,Bailey High School,74,98,1,1,1
17904,Matthew Singh,M,9th,Bailey High School,77,79,1,1,1
17905,Francisco Hoffman,M,10th,Bailey High School,77,71,1,1,1
17906,Richard Duran,M,11th,Bailey High School,75,65,0,1,0
17907,Thomas Garcia,M,10th,Bailey High School,69,70,1,0,0
17908,Jessica Russell,F,12th,Bailey High School,93,84,1,1,1
17909,Bobby Kemp,M,11th,Bailey High School,95,75,1,1,1
17910,Caitlin Blake,F,10th,Bailey High School,93,89,1,1,1
17911,Jeffrey Murphy,M,10th,Bailey High School,90,99,1,1,1
17912,Jeremiah White,M,9th,Bailey High School,63,76,1,0,0
17913,Craig West,M,12th,Bailey High School,76,76,1,1,1
17914,Michael Huynh,M,12th,Bailey High School,66,93,1,0,0
17915,Andrea Cummings,F,11th,Bailey High School,76,85,1,1,1
17916,Walter Hernandez,M,10th,Bailey High School,90,95,1,1,1
17917,Johnny Rogers,M,10th,Bailey High School,93,85,1,1,1
17918,John Lopez,M,10th,Bailey High School,65,89,1,0,0
17919,Elizabeth Davis,F,11th,Bailey High School,84,95,1,1,1
17920,Lisa Aguilar,F,9th,Bailey High School,76,96,1,1,1
17921,Carolyn Robinson,F,11th,Bailey High School,97,72,1,1,1
17922,Danielle Harris,F,9th,Bailey High School,72,59,0,1,0
17923,Stacy Cordova,F,10th,Bailey High School,81,74,1,1,1
17924,Darren Fields,M,10th,Bailey High School,83,68,0,1,0
17925,Daniel Gonzalez,M,12th,Bailey High School,72,58,0,1,0
17926,Robert Cruz,M,10th,Bailey High School,92,87,1,1,1
17927,Christopher Booker,M,12th,Bailey High School,63,75,1,0,0
17928,Kristin Johnson,F,9th,Bailey High School,75,68,0,1,0
17929,Hayley Morales,F,11th,Bailey High School,80,57,0,1,0
17930,Kevin Martin,M,9th,Bailey High School,67,71,1,0,0
17931,Miss Erin Bradley DDS,F,10th,Bailey High School,98,79,1,1,1
17932,Natalie Bennett,F,10th,Bailey High School,63,65,0,0,0
17933,Kellie Matthews,F,11th,Bailey High School,91,71,1,1,1
17934,Anna Myers,F,9th,Bailey High School,84,62,0,1,0
17935,Teresa Vasquez,F,11th,Bailey High School,64,86,1,0,0
17936,Timothy Higgins,M,9th,Bailey High School,67,80,1,0,0
17937,Michael Casey,M,10th,Bailey High School,80,66,0,1,0
17938,Craig Holloway,M,12th,Bailey High School,77,72,1,1,1
17939,Anthony Ford,M,9th,Bailey High School,93,73,1,1,1
17940,Gerald Rodriguez,M,10th,Bailey High School,82,71,1,1,1
17941,Julie Davis,F,11th,Bailey High School,71,91,1,1,1
17942,Cody Lee,M,11th,Bailey High School,76,58,0,1,0
17943,Nicole Rose,F,9th,Bailey High School,85,56,0,1,0
17944,Anne Mccall,F,11th,Bailey High School,92,77,1,1,1
17945,Trevor Riggs,M,12th,Bailey High School,70,87,1,1,1
17946,Jordan Rose,M,12th,Bailey High School,76,70,1,1,1
17947,Steven Richardson,M,12th,Bailey High School,78,56,0,1,0
17948,Diana Costa,F,11th,Bailey High School,86,68,0,1,0
17949,Cathy Conner,F,10th,Bailey High School,67,66,0,0,0
17950,Christopher Hooper,M,12th,Bailey High School,93,95,1,1,1
17951,Michael Simon,M,11th,Bailey High School,72,68,0,1,0
17952,Barbara Jacobs,F,10th,Bailey High School,68,59,0,0,0
17953,Savannah Wallace,F,12th,Bailey High School,63,97,1,0,0
17954,Samuel Delacruz,M,11th,Bailey High School,92,69,0,1,0
17955,Diana Sosa,F,10th,Bailey High School,77,55,0,1,0
17956,Sara Martinez,F,10th,Bailey High School,78,90,1,1,1
17957,Michelle Thomas,F,12th,Bailey High School,70,98,1,1,1
17958,Gabriela Hughes,F,11th,Bailey High School,69,61,0,0,0
17959,Kathryn Rosario,F,10th,Bailey High School,75,64,0,1,0
17960,Christopher Long,M,9th,Bailey High School,76,90,1,1,1
17961,Mr. Michael Allen,M,9th,Bailey High School,63,58,0,0,0
17962,Erik Lambert,M,11th,Bailey High School,85,61,0,1,0
17963,Casey Jones,M,9th,Bailey High School,80,95,1,1,1
17964,Joseph Kelly,M,9th,Bailey High School,85,96,1,1,1
17965,Debra Brown,F,9th,Bailey High School,81,98,1,1,1
17966,Emma Watson,F,10th,Bailey High School,83,97,1,1,1
17967,Jacqueline Shea,F,9th,Bailey High School,93,78,1,1,1
17968,Sara Murphy,F,9th,Bailey High School,71,65,0,1,0
17969,Natalie Grant,F,9th,Bailey High School,79,78,1,1,1
17970,Catherine Brown,F,11th,Bailey High School,76,60,0,1,0
17971,Martin Crawford,M,11th,Bailey High School,84,96,1,1,1
17972,Courtney Torres,F,10th,Bailey High School,66,94,1,0,0
17973,Mary Martin,F,11th,Bailey High School,83,74,1,1,1
17974,Peter Miller,M,9th,Bailey High School,73,76,1,1,1
17975,Taylor Day,F,10th,Bailey High School,87,62,0,1,0
17976,David Cannon,M,9th,Bailey High School,63,59,0,0,0
17977,Roy Harrison,M,12th,Bailey High School,85,98,1,1,1
17978,Barbara Harris,F,10th,Bailey High School,80,88,1,1,1
17979,Kelly Romero MD,F,11th,Bailey High School,78,55,0,1,0
17980,Valerie May,F,9th,Bailey High School,65,81,1,0,0
17981,Gerald Gray,M,11th,Bailey High School,83,80,1,1,1
17982,Donald Craig,M,10th,Bailey High School,65,62,0,0,0
17983,April Fisher,F,9th,Bailey High School,71,56,0,1,0
17984,Lisa Lee,F,10th,Bailey High School,70,89,1,1,1
17985,Bradley Hunter,M,9th,Bailey High School,63,90,1,0,0
17986,Taylor Horton,F,10th,Bailey High School,68,93,1,0,0
17987,Kevin Huffman,M,12th,Bailey High School,93,99,1,1,1
17988,Erica Gould,F,11th,Bailey High School,67,59,0,0,0
17989,Anna Yang MD,F,11th,Bailey High School,97,83,1,1,1
17990,John Williamson,M,9th,Bailey High School,89,71,1,1,1
17991,Bruce Garcia,M,12th,Bailey High School,80,71,1,1,1
17992,Cynthia Schultz,F,12th,Bailey High School,65,62,0,0,0
17993,Michael Russo,M,10th,Bailey High School,88,90,1,1,1
17994,John White DVM,M,10th,Bailey High School,67,65,0,0,0
17995,Jeffrey Andersen,M,12th,Bailey High School,68,58,0,0,0
17996,Kylie Moore,F,11th,Bailey High School,93,65,0,1,0
17997,Anthony Spencer,M,9th,Bailey High School,76,66,0,1,0
17998,Christopher Conway,M,12th,Bailey High School,83,95,1,1,1
17999,Elizabeth Fields,F,11th,Bailey High School,83,90,1,1,1
18000,Blake Gaines,M,10th,Bailey High School,69,82,1,0,0
18001,Donald Edwards,M,11th,Bailey High School,78,82,1,1,1
18002,Mr. James Barnes,M,10th,Bailey High School,74,88,1,1,1
18003,Joseph Allen,M,9th,Bailey High School,83,95,1,1,1
18004,Larry Perez,M,10th,Bailey High School,65,56,0,0,0
18005,Elizabeth Sharp,F,10th,Bailey High School,64,82,1,0,0
18006,Jason Anderson,M,12th,Bailey High School,69,60,0,0,0
18007,Linda Jensen,F,11th,Bailey High School,98,81,1,1,1
18008,Mr. Carlos Warner,M,10th,Bailey High School,85,56,0,1,0
18009,Andrew Castaneda,M,10th,Bailey High School,78,59,0,1,0
18010,Elizabeth Smith,F,10th,Bailey High School,74,63,0,1,0
18011,Angela Wall,F,9th,Bailey High School,77,68,0,1,0
18012,Kim Foley,F,10th,Bailey High School,83,82,1,1,1
18013,Carol Peterson,F,12th,Bailey High School,85,81,1,1,1
18014,Christina Martinez,F,10th,Bailey High School,82,61,0,1,0
18015,Ashley Nguyen,F,11th,Bailey High School,74,66,0,1,0
18016,James Ferrell,M,9th,Bailey High School,77,87,1,1,1
18017,Robert Williams,M,11th,Bailey High School,93,63,0,1,0
18018,Kayla Rodriguez,F,10th,Bailey High School,80,92,1,1,1
18019,Gwendolyn Foster,F,10th,Bailey High School,94,80,1,1,1
18020,Joshua Baldwin,M,11th,Bailey High School,90,64,0,1,0
18021,Deborah Davis,F,11th,Bailey High School,64,73,1,0,0
18022,Robert Rodriguez,M,9th,Bailey High School,65,66,0,0,0
18023,Darius Williams,M,9th,Bailey High School,73,98,1,1,1
18024,April Vazquez,F,10th,Bailey High School,71,69,0,1,0
18025,Ebony Alexander,F,12th,Bailey High School,93,87,1,1,1
18026,Brian Trevino,M,9th,Bailey High School,63,60,0,0,0
18027,Thomas Cook,M,12th,Bailey High School,91,92,1,1,1
18028,Joy Shah,F,12th,Bailey High School,68,96,1,0,0
18029,William Rivera,M,10th,Bailey High School,85,87,1,1,1
18030,Shawn Mccarty,M,12th,Bailey High School,90,93,1,1,1
18031,Edward Murray,M,12th,Bailey High School,65,84,1,0,0
18032,Dana Mitchell,F,10th,Bailey High School,98,77,1,1,1
18033,Hector Crawford,M,11th,Bailey High School,69,88,1,0,0
18034,Russell Gonzalez,M,11th,Bailey High School,97,86,1,1,1
18035,Joel Hampton,M,11th,Bailey High School,69,88,1,0,0
18036,Christina Jackson,F,12th,Bailey High School,79,70,1,1,1
18037,David Bird,M,12th,Bailey High School,94,69,0,1,0
18038,Cameron Yang,M,12th,Bailey High School,72,88,1,1,1
18039,Christopher Lawrence,M,12th,Bailey High School,81,83,1,1,1
18040,Heidi Wright,F,10th,Bailey High School,84,74,1,1,1
18041,Philip Long,M,11th,Bailey High School,88,88,1,1,1
18042,Andrew Taylor,M,12th,Bailey High School,97,55,0,1,0
18043,Jeffrey Rivera,M,10th,Bailey High School,76,55,0,1,0
18044,Lauren Lee,F,11th,Bailey High School,96,93,1,1,1
18045,Margaret Cantrell,F,11th,Bailey High School,77,96,1,1,1
18046,Andrea Green,F,9th,Bailey High School,88,76,1,1,1
18047,Tabitha Adams,F,12th,Bailey High School,81,98,1,1,1
18048,Austin Johnston,M,9th,Bailey High School,71,87,1,1,1
18049,Michael Gomez,M,11th,Bailey High School,80,84,1,1,1
18050,Linda Buchanan,F,11th,Bailey High School,66,92,1,0,0
18051,Daniel Cross,M,11th,Bailey High School,99,80,1,1,1
18052,Guy Thomas,M,9th,Bailey High School,63,87,1,0,0
18053,Steven King,M,11th,Bailey High School,75,57,0,1,0
18054,Karen Allen,F,11th,Bailey High School,98,85,1,1,1
18055,Anthony Smith,M,12th,Bailey High School,70,97,1,1,1
18056,Desiree Gordon,F,9th,Bailey High School,89,89,1,1,1
18057,Jillian George,F,10th,Bailey High School,89,75,1,1,1
18058,Eric Osborn,M,10th,Bailey High School,65,89,1,0,0
18059,Jesse Todd,M,11th,Bailey High School,63,58,0,0,0
18060,Malik White,M,12th,Bailey High School,79,77,1,1,1
